# VoxWrite offline Pinyin lexicon v2
# Generated from jieba 0.42.1 + pypinyin 0.55.0 (MIT)
a	啊 阿 嗄 锕
alabolianheqiuzhangguo	阿拉伯联合酋长国
alaboren	阿拉伯人
alaboshuzi	阿拉伯数字
alabowen	阿拉伯文
alaboyu	阿拉伯语
alabu	阿拉布
alafate	阿拉法特
alagong	阿拉贡
alaiman	阿莱曼
alamutu	阿拉木图
alan	阿兰
alanren	阿兰人
alapei	阿拉培
alashan	阿拉善
alashanmeng	阿拉善盟
alasijia	阿拉斯加
alasijiazhou	阿拉斯加州
alei	阿勒
aleige	阿雷格
aleipo	阿勒颇
aleitai	阿勒泰
ali	阿里 阿利
alian	阿里安
alianqiu	阿联酋
alibaba	阿里巴巴
alidiqu	阿里地区
aliekexie	阿列克谢
alima	阿力麻
alishan	阿里山
alisituo	阿里斯托
aliushen	阿留申
alongsuo	阿隆索
aluba	阿鲁巴
aluhu	阿鲁忽
aluhun	阿鲁浑
alun	阿伦
alunni	阿伦尼
aluo	阿罗
aluoyue	阿罗约
alutai	阿鲁台
ama	阿妈
aman	阿曼
amani	阿妈妮 阿玛尼
amansudanguo	阿曼苏丹国
amanwan	阿曼湾
amei	阿妹
ameisu	阿霉素
amen	阿门
ameng	阿盟 阿蒙
ami	阿米
amiba	阿米巴
aming	阿明
amu	阿姆
amuer	阿穆尔
amuerhe	阿穆尔河
amuersana	阿睦尔撒纳
amuha	阿姆哈
amuhe	阿姆河
amuli	阿姆利
amusitedan	阿姆斯特丹
amusitelang	阿姆斯特朗
an	按 安 暗 案 氨 俺 岸 庵 鞍 胺 闇 谙 铵 黯 垵 桉 唵 鮟 鹌 侒 犴 盦 菴 痷 揞 峖 晻 盫 韽
ana	阿那
anai	阿奶
anan	暗暗 安安
ananjingjing	安安静静
ananwenwen	安安稳稳
anban	案板
anbangdingguo	安邦定国
anbangzhi	安邦治
anbangzhiguo	安邦治国
anbao	安保
anbian	岸边 安边
anbingbudong	按兵不动
anbu	安布
anbujiuban	按部就班
ancang	暗藏
ancaoer	安草儿
ancha	安插
anchang	暗娼 安常
anchashi	按察使
anchenchen	暗沉沉
anchu	暗处
anchun	鹌鹑
anda	安达 谙达
andaluxiya	安达卢西亚
andalve	安大略
andalvehu	安大略湖
andalvesheng	安大略省
andaman	安达曼
andan	暗淡 黯淡
andaniang	安大娘
andao	暗道 按倒
andaoer	安道尔
andaoquan	安道全
andelai	安德莱
andelie	安德烈
andeliesi	安的列斯
andeliesiqundao	安的列斯群岛
andelu	安德鲁
andeluo	安德罗 安德洛
andelusi	安德鲁斯
andesen	安德森
andete	安德特
andezheng	安德正
andi	暗地
andili	暗地里 安蒂利
anding	安定
andingmen	安定门
andingtuanjie	安定团结
andisi	安第斯
andisishan	安第斯山
andisishanmai	安第斯山脉
andixu	安蒂叙
andiyong	安帝永
andong	安东 按动
andongni	安东尼
andongniao	安东尼奥
andongnuofu	安东诺夫
andongzhu	安洞主
andu	安度 案牍
anduchencang	暗渡陈仓
andun	安顿
anduo	安多
anfa	案发
anfang	安放 暗访 岸防
anfeipu	安菲浦
anfen	安分
anfeng	安丰
anfengri	安奉日
anfenshouji	安分守己
anfu	安抚 安福
anfusi	安抚司
ang	昂 盎 肮 卬 骯 醠
angang	鞍钢
angela	安哥拉
anggelu	盎格鲁
anggui	昂贵
angqi	昂起
angran	昂然 盎然
angshou	昂首
angshoukuobu	昂首阔步
angshoutingxiong	昂首挺胸
angsi	盎司
anguiding	按规定
anguila	安圭拉
anguo	安国
angyang	昂扬
angzang	肮脏
anhai	暗害
anhan	暗含
anhao	安好 暗号
anhe	暗河 暗合 安和
anheer	安赫尔
anhei	暗黑
anhong	暗红
anhongse	暗红色
anhua	氨化 安化
anhuanghou	安皇后
anhui	安徽
anhuidaxue	安徽大学
anhuisheng	安徽省
anieli	阿涅利
animaqingshan	阿尼玛卿山
anji	氨基 岸基 安吉 暗记
anjia	安家 俺家
anjiafei	安家费
anjiala	安加拉
anjialuohu	安家落户
anjian	案件 按键 安检 暗箭
anjiangang	安健刚
anjianshangren	暗箭伤人
anjiao	暗礁
anjie	按揭
anjihua	按计划
anjing	安静
anjisuan	氨基酸
anju	安居
anjuan	案卷
anjuleye	安居乐业
anjunwang	安郡王
ankala	安卡拉
ankang	安康
anla	安拉
anlan	安澜
anlaofenpei	按劳分配
anle	安乐
anlei	胺类
anlesi	安乐死
anlewo	安乐窝
anli	案例 按理 暗里
anlian	暗恋 安联
anlihui	安理会
anlihuichangrenlishiguo	安理会常任理事国
anliman	安力满
anling	安陵
anlishuo	按理说
anliu	暗流
anlong	安龙
anlu	安陆
anlushan	安禄山
anlushi	安陆市
anlvse	暗绿色
anma	鞍马
anmalaodun	鞍马劳顿
anman	安曼
anmen	俺们 暗门
anmeng	安盟
anmian	安眠
anmianyao	安眠药
anmin	安民
anmo	按摩
anmouke	安谋克
anna	安娜 按捺
annabuzhu	按捺不住
annan	安南
annei	安内
anni	安妮
anning	安宁
anninghe	安宁河
anniu	按钮
anniya	安尼亚
anpai	安排
anpao	岸炮
anpei	安培
anping	安平
anqi	暗器 按期 氨气
anqianmahou	鞍前马后
anqing	案情 安庆
anqingshi	安庆市
anqinwang	安亲王
anqiqi	安其妻
anqiyi	安其宜
anqizhou	安七州
anquan	安全
anquanbu	安全部
anquanbudui	安全部队
anquanbumen	安全部门
anquancuoshi	安全措施
anquandai	安全带
anquanfa	安全法
anquangan	安全感
anquanjiancha	安全检查
anquanju	安全局
anquanqu	安全区
anquanshijian	安全事件
anquantao	安全套
anquanxing	安全性
anquanxishu	安全系数
anran	黯然 安然
anranshenshang	黯然神伤
anranshise	黯然失色
anranwuyang	安然无恙
anruo	暗弱
ansai	安塞
ansaimi	安赛蜜
ansali	安萨里
anse	暗色
ansha	暗杀
anshan	鞍山 安山
anshang	岸上 安上
anshanshi	鞍山市
anshanyan	安山岩
anshe	安设
anshen	安身 安神
ansheng	安生
anshenliming	安身立命
anshi	暗示 按时 安适 暗室
anshixing	暗示性
anshizhiluan	安史之乱
anshu	桉树 谙熟
anshui	安睡 氨水
anshun	安顺
anshunchang	安顺场
anshuo	按说
ansuan	暗算
ansuozi	安锁子
antai	安泰 安胎
antan	暗探 岸滩
antang	庵堂
anteng	安腾
anteweipu	安特卫普
antidu	安提督
antiguahebabuda	安提瓜和巴布达
antou	案头
antuowan	安托万
antusheng	安徒生
antusuoji	按图索骥
anuode	阿诺德
anuosi	阿诺斯
anwei	安慰 安危
anwen	安稳
anwo	安卧
anwutianri	暗无天日
anwuzhi	暗物质
anxi	安息 暗喜 安西 安溪
anxian	岸线 安闲 安县 暗线
anxiang	安乡 暗想 安详 安享 暗箱 暗香
anxiao	暗笑
anxiaohui	安小慧
anxie	安歇
anxin	安心
anxiri	安息日
anxixiang	安息香
anya	按压
anyan	铵盐
anyang	安阳
anyangshi	安阳市
anyi	安逸
anying	暗影 安营
anyingzhazhai	安营扎寨
anyu	安于 暗语
anyuan	安源
anyuxianzhuang	安于现状
anyuxin	安于心
anzang	安葬
anzhao	按照
anzhe	按着
anzhen	安贞
anzhi	安置
anzhong	暗中
anzhu	按住
anzhuang	安装
anzi	暗自 案子 鞍子
anziwen	安子文
ao	奥 嶅 熬 鳌 澳 凹 袄 拗 傲 敖 螯 嗷 翱 懊 坳 璈 鏊 獒 媪 鏖 镺 廒 厫 墺 岙 獓 奡 隞 遨 骜 垇 媼
aoao	嗷嗷
aoaodaibu	嗷嗷待哺
aoaojiao	嗷嗷叫
aobama	奥巴马
aoban	凹版
aobao	敖包
aobenhaimo	奥本海默
aobi	奥比
aobuer	奥布尔
aobusi	奥布斯
aocao	凹槽
aodaliya	澳大利亚
aodaliyadui	澳大利亚队
aodaliyaguangbogongsi	澳大利亚广播公司
aodaliyalianbang	澳大利亚联邦
aodaliyaren	澳大利亚人
aode	奥德 奥得
aodehe	奥得河
aodesa	敖德萨
aodesai	奥德赛
aodexiu	奥德修
aodi	奥迪
aodili	奥地利
aodiliren	奥地利人
aodipu	奥狄浦
aoduo	奥多
aoduomu	奥多姆
aoerbulaite	奥尔布赖特
aoerliang	奥尔良
aoerluofu	奥尔洛夫
aoermeike	奥尔梅克
aoerte	奥尔特
aoeryu	奥尔语
aogesibao	奥格斯堡
aogusi	奥古斯
aogusiding	奥古斯丁
aogusita	奥古斯塔
aogusite	奥古斯特
aohui	懊悔
aojian	熬煎
aojin	凹进
aokelan	奥克兰
aokema	澳柯玛
aokou	拗口
aola	奥拉
aolan	奥兰
aolanduo	奥兰多
aolanzhi	奥兰治
aoli	奥利 奥里
aolifu	奥立佛
aolili	奥利力
aolinbasi	奥林巴斯
aolinpasi	奥林帕斯
aolinpi	奥林匹
