# VoxWrite offline Pinyin lexicon v2
# Generated from jieba 0.42.1 + pypinyin 0.55.0 (MIT)
a	啊 阿 嗄 锕
fuwuqiduan	服务器端
fuwushang	服务商
fuwushe	服务社
fuwusheng	服务生
fuwutai	服务台
fuwuxing	服务性 服务型
fuwuye	服务业
fuwuyuan	服务员
fuwuzhan	服务站
fuwuzhiliang	服务质量
fuwuzhongxin	服务中心
fuxi	复习 父系 附息 伏羲 付息 赴席
fuxian	复线 浮现 府县 赋闲 复现
fuxiang	福相
fuxianglianpian	浮想联翩
fuxiangrong	傅湘荣
fuxianqiao	复线桥
fuxiao	拂晓 附小
fuxiaotan	付笑谈
fuxie	腹泻
fuxin	负心 阜新 腹心 复信
fuxing	复兴 福星 服刑 复姓 复星 赋性 复性
fuxingdang	复兴党
fuxinshi	阜新市
fuxiong	父兄
fuxiu	腐朽 拂袖 辅修
fuxiuerqu	拂袖而去
fuxu	抚恤 夫婿
fuxue	复学
fuxujin	抚恤金
fuya	负压
fuyan	敷衍 赴宴 复眼
fuyang	抚养 俯仰 阜阳 扶养 富阳 滏阳
fuyangfei	抚养费
fuyangshi	阜阳市
fuyanliaoshi	敷衍了事
fuyansi	福严寺
fuyao	服药 敷药
fuyaozhishang	扶摇直上
fuye	复叶 副业 父业
fuyi	服役 赋役 辅以 复议 副翼
fuyijian	傅以渐
fuyin	福银 复印 辅音 福音 府尹 付印
fuying	妇婴 服膺
fuyingyanghua	富营养化
fuyinji	复印机
fuyinjian	复印件
fuyinshu	福音书
fuyiqi	服役期
fuyong	服用 复用 附庸
fuyongfengya	附庸风雅
fuyongguo	附庸国
fuyongxiang	福永享
fuyou	富有 负有 附有 浮游 赋有 妇幼 蜉蝣
fuyoude	傅友德
fuyoushengwu	浮游生物
fuyouxiang	副油箱
fuyu	赋予 富裕 富于 负于 富余 抚育 付与 馥郁 扶余 夫余
fuyuan	复原 复员 幅员 抚远 复元
fuyuanjunren	复员军人
fuyuanliaokuo	幅员辽阔
fuyue	赴约 斧钺
fuyun	浮云
fuyuwankang	负隅顽抗
fuza	复杂
fuzahua	复杂化
fuzai	负载
fuzao	浮躁 斧凿
fuzaxing	复杂性
fuze	负责 福泽 附则
fuzeren	负责人
fuzeyu	福泽喻
fuzezhi	负责制
fuzhai	负债
fuzhaibiao	负债表
fuzhaileilei	负债累累
fuzhang	腹胀 付账
fuzhao	辐照
fuzhe	覆辙
fuzhenbang	傅振邦
fuzheng	辅政 扶正
fuzhi	复制 副职 扶植 赋值 附肢 复职 福祉 负值 跗蹠 腐殖
fuzhidongliu	付之东流
fuzhihuan	傅志寰
fuzhipin	复制品
fuzhiyiju	付之一炬
fuzhizhi	腐殖质
fuzhong	腹中 浮肿 附中 负重 复种
fuzhongzhishu	复种指数
fuzhou	福州 抚州 符咒
fuzhoudaxue	福州大学
fuzhoushi	福州市
fuzhu	辅助 扶助 付诸 附注 伏诛
fuzhuan	复转
fuzhuang	服装
fuzhuangchang	服装厂
fuzhuangdian	服装店
fuzhuangye	服装业
fuzhudongliu	付诸东流
fuzhuo	附着
fuzhushijian	付诸实践
fuzhushishi	付诸实施
fuzhuxing	辅助性
fuzi	父子 夫子 斧子 附子 福字
fuzimiao	夫子庙
fuziying	傅自应
fuzong	副总
fuzonglong	傅宗龙
fuzu	富足 腹足
fuzui	伏罪
fuzuo	辅佐
fuzuoyi	傅作义
fuzuoyong	副作用
ga	伽 嘎 噶 呷 尕 尬 旮 钆 魀
gaer	噶尔
gaerdan	噶尔丹
gaga	嘎嘎
gai	该 改 盖 钙 丐 概 垓 姟 忋 溉 杚 祴 赅 陔 乢 漑 戤 槩 絯 蓋
gaian	该案
gaiban	改版 盖板 改扮
gaibang	丐帮
gaibao	该报
gaibian	改变 改编
gaibing	该病
gaibu	该部
gaichang	该厂
gaichaohuandai	改朝换代
gaiche	该车
gaicheng	改称 改成 该城 改乘
gaichu	该处
gaici	盖茨
gaicun	该村
gaicuo	改错
gaidang	该当 该党
gaidao	改道
gaide	盖德
gaidi	该地
gaidian	该店
gaidiao	改掉
gaiding	改订
gaidong	改动
gaiduan	该段
gaidui	该队
gaidun	盖顿
gaier	盖尔 盖儿
gaiersen	盖尔森
gaifang	盖房
gaigang	该港
gaige	改革
gaigejia	改革家
gaigepai	改革派
gaigezhe	改革者
gaiguan	改观 该馆
gaiguo	该国 改过
gaiguozixin	改过自新
gaihang	改行
gaihua	钙化
gaihuan	改换
gaihuanmenting	改换门庭
gaihui	该会 改悔
gaiji	该机
gaijia	改嫁
gaijian	改建
gaijin	改进
gaijinxing	改进型
gaiju	该剧 该局
gaikan	该刊
gaike	该科
gaikou	改口
gaikuan	该款
gaikuang	概况 该矿
gaikuo	概括
gaikuoxing	概括性
gaila	盖拉
gailan	概览
gailei	该类
gailiang	改良
gailiangji	改良剂
gailiangpai	改良派
gailiangzhuyi	改良主义
gailun	概论
gailv	概率
gailve	概略
gailvfenbu	概率分布
gailvlun	概率论
gaimao	概貌 盖帽
gaiming	改名
gainian	概念
gainiangu	概念股
gainianhua	概念化
gainianxing	概念性
gaipan	改判
gaipian	该片
gaiqi	盖起
gaiqian	改签
gaiqu	该区
gairen	改任 该人
gairi	改日
gaishan	改善
gaishe	该社
gaisheng	该省
gaishi	该市 该是 盖世
gaishitaibao	盖世太保
gaishu	该书 概述
gaisi	该死 该寺
gaisuan	概算
gaisuo	该所
gaitai	该台
gaitian	改天
gaitianshuo	盖天说
gaitiao	该条
gaitou	盖头
gaitouhuanmian	改头换面
gaituan	该团
gaiwan	盖碗
gaiwancha	盖碗茶
gaiwei	改为
gaiwen	该文
gaixian	该县 该线
gaixiang	该项 改向
gaixiangengzhang	改弦更张
gaixianyizhe	改弦易辙
gaixiao	该校
gaixie	改写
gaixieguizheng	改邪归正
gaixing	该行 改型 改性
gaixuan	改选
gaiyao	概要 该药
gaiyiming	盖一鸣
gaiyong	改用
gaiyou	改由
gaiyuan	该院 改元
gaizao	改造
gaizhan	该站
gaizhang	盖章
gaizhen	该镇
gaizheng	改正
gaizhi	改制 钙质
gaizhong	该种
gaizhou	盖州 该州
gaizhuang	改装
gaizhuangche	改装车
gaizi	盖子
gaizu	改组 该组
gaizuo	改作
gajupai	噶举派
gala	旮旯
gama	伽马
gamadao	伽玛刀
gan	干 敢 感 赶 肝 杆 甘 赣 忓 汵 柑 竿 苷 皯 秆 魐 擀 绀 簳 淦 尴 倝 粓 矸 芉 橄 酐 旰 玕 仠 攼 幹
ganai	肝癌
ganba	干巴
ganbaba	干巴巴
ganbaixiafeng	甘拜下风
ganbaobao	甘宝宝
ganbaoqi	甘暴弃
ganbei	干贝 干杯 赣北
ganbie	干瘪
ganbing	肝病 干冰
ganbu	干部
ganbubu	干部部
ganbulang	干步廊
ganbuliao	干不了
gancai	干才 干菜
gancao	甘草 干草
ganchai	干柴
ganchang	赶场 肝肠
ganchangcunduan	肝肠寸断
ganchao	赶超
ganche	赶车
gancheng	干城
ganchu	感触
gancui	干脆
gancuililuo	干脆利落
gancuilisuo	干脆利索
gandan	肝胆
gandang	敢当 甘当
gandansi	甘丹寺
gandanxiangzhao	肝胆相照
gandanzhaoren	肝胆照人
gandao	感到 赶到 干道
gandengyan	干瞪眼
gandi	甘地
gandianchi	干电池
gandiao	干掉
gandie	干爹
gandong	感动
ganen	感恩
ganendaide	感恩戴德
ganenjie	感恩节
ganentubao	感恩图报
ganer	杆儿
ganerzi	干儿子
ganfa	干法
ganfan	干饭
ganfen	感奋
ganfu	赶赴
ganfuren	甘夫人
gang	刚 岗 港 钢 纲 缸 冈 罡 冮 杠 肛 崗 戆 釭 筻 剛 棡 掆 焹 矼 綱
ganga	尴尬
ganganjingjing	干干净净
gangao	港澳
gangaodiqu	港澳地区
gangaotai	港澳台
gangaotaidiqu	港澳台地区
gangban	钢板
gangbi	港币 钢笔 刚愎
gangbian	钢鞭
gangbiya	冈比亚
gangbiyahe	冈比亚河
gangbiziyong	刚愎自用
gangbu	港埠
gangcai	刚才 钢材
gangcha	钢叉 港汊
gangchang	钢厂 纲常
gangchi	港池
gangcun	冈村
gangdao	钢刀 港岛
gangding	钢锭
gangdisishanmai	冈底斯山脉
gangdu	刚度
gange	干戈
gangfu	港府
ganggan	杠杆
ganggang	刚刚 杠杠
ganggu	港股
gangguan	钢管
ganggui	钢轨
gangguo	刚果
gangguohe	刚果河
ganghao	刚好
ganghuaboli	钢化玻璃
gangji	纲纪
gangjian	刚健
gangjin	钢筋
gangjing	刚劲
gangkou	港口
gangkui	钢盔
ganglan	钢缆
gangliang	钢梁
ganglie	刚烈 肛裂
gangling	纲领 杠铃
ganglingxing	纲领性
ganglong	港龙
ganglou	肛瘘
gangmao	刚毛
gangmen	肛门
gangmu	纲目
gangnan	岗南
gangong	肝功
gangongneng	肝功能
gangqian	钢钎
gangqiang	刚强 钢枪
gangqiao	刚巧
gangqin	钢琴
gangqinjia	钢琴家
gangqinqu	钢琴曲
gangqiu	钢球
gangqu	港区
gangren	港人
gangrenboqifeng	冈仁波齐峰
gangrenzhigang	港人治港
gangrou	刚柔
gangroubingji	刚柔并济
gangrouxiangji	刚柔相济
gangsaleisi	冈萨雷斯
gangshan	冈山
gangshang	港商 岗上
gangshao	岗哨
gangsheng	钢绳
gangsi	钢丝
gangsisheng	钢丝绳
gangsuo	钢索
gangtai	港台
gangti	刚体
gangtiao	钢条
gangtie	钢铁
gangtiechang	钢铁厂
gangting	岗亭
ganguan	感官 感观
ganguang	感光
ganguanghao	干光豪
ganguo	干果 坩埚
gangwan	港湾
gangwana	冈瓦纳
gangwei	岗位
gangwu	港务
gangxing	刚性
gangyao	纲要
gangyi	刚毅
gangying	刚硬
gangyirou	刚一柔
gangyu	刚玉
gangyuan	港元
gangzhen	钢针
gangzheng	刚正
gangzhengbue	刚正不阿
gangzhi	钢质 钢制 刚直
gangzhibue	刚直不阿
gangzhong	钢种
gangzhu	钢珠
gangzi	杠子 缸子
ganhan	干旱
ganhanqu	干旱区
ganhao	干嚎
ganhe	干涸
ganhua	感化
ganhuai	感怀
ganhui	赶回
ganhuo	干活 肝火 干货
ganhuoer	干活儿
ganji	感激 赶集 干季 疳积
ganjian	杆件
ganjiang	干将 赣江 干姜
ganjiaohan	干椒含
ganjibujin	感激不尽
ganjie	干结
ganjin	赶紧 干劲
ganjing	干净 干警
ganjingliluo	干净利落
ganjinglisuo	干净利索
ganjinshajue	赶尽杀绝
ganjitiling	感激涕零
ganju	柑橘 柑桔
ganjue	感觉
ganjueqiguan	感觉器官
ganjueshenjing	感觉神经
ganjun	杆菌
gankai	感慨
gankaibuyi	感慨不已
gankaiwanduan	感慨万端
gankaiwanqian	感慨万千
gankao	赶考
ganke	干咳 干渴
ganku	干枯 甘苦
gankuai	赶快
ganlai	赶来
ganlan	橄榄 干栏 甘蓝
ganlanlv	橄榄绿
ganlanqiu	橄榄球
ganlanse	橄榄色
ganlanshi	橄榄石
ganlanshu	橄榄树
ganlanyan	橄榄岩
ganlanyou	橄榄油
ganlanzhi	橄榄枝
ganlao	干酪
ganleng	干冷
ganlian	干练
ganliang	干粮
ganliangdao	甘凉道
ganlie	干裂
ganlin	甘霖
ganliu	干流 干馏
ganlu	赶路 甘露 干禄
ganluchun	甘露醇
ganma	干吗 干妈
ganmang	赶忙
ganmao	感冒
ganmaoyao	感冒药
ganmei	甘美
ganmian	干面
ganmianzhang	擀面杖
ganminger	赶明儿
gannan	赣南 甘南
gannaotudi	肝脑涂地
gannian	感念
ganniang	干娘
ganning	甘宁
gannuerbuganyan	敢怒而不敢言
gannver	干女儿
ganou	干呕
ganpao	赶跑
ganpei	感佩
ganpu	澉浦
ganqi	干起 肝气
ganqiao	赶巧
ganqing	感情 敢情
ganqingyongshi	感情用事
ganqu	干渠
ganquan	甘泉
ganqun	干群
ganran	感染
ganranli	感染力
ganranlv	感染率
ganranxing	感染性
ganranzhe	感染者
ganrao	干扰
ganraoji	干扰机
ganraosu	干扰素
ganre	干热
ganrefeng	干热风
ganren	感人
ganrenzhishen	感人至深
ganse	干涩
ganshang	赶上 感伤
ganshe	干涉
ganshen	肝肾
ganshenme	干什么
ganshexianxiang	干涉现象
gansheyi	干涉仪
ganshi	干事 干尸 干湿 矸石 杆式 干式
ganshimao	赶时髦
ganshizhang	干事长
ganshou	感受 干瘦
ganshouqi	感受器
ganshu	甘薯
ganshuang	干爽
ganshui	泔水
gansi	敢死
gansidui	敢死队
gansiwente	甘斯文特
gansu	甘肃 肝素
gansusheng	甘肃省
ganta	杆塔
gantan	感叹
gantang	赶趟
gantian	甘甜
gantongshenshou	感同身受
ganwan	干完
ganwang	赶往
ganwu	感悟
ganxi	干系 赣西
ganxian	干线 赣县 干仙
ganxiang	感想
ganxiao	干校 干笑
ganxibao	干细胞
ganxie	感谢
ganxiexin	感谢信
ganxin	甘心
ganxinan	赣西南
ganxing	感性 干性
ganxingqu	感兴趣
ganxingrenshi	感性认识
ganxingyou	干性油
ganxinqingyuan	甘心情愿
ganxiu	甘休 干休
ganyan	肝炎 感言
ganyanzheng	干眼症
ganying	感应
ganyingbian	肝硬变
ganyingdianliu	感应电流
ganyinghua	肝硬化
ganyinglu	感应炉
ganyingqi	感应器
ganyou	甘油
ganyousanzhi	甘油三酯
ganyouzhi	甘油酯
ganyu	干预 敢于 甘于 甘雨
ganyuan	甘愿
ganzang	肝脏
ganzao	干燥 赶早
ganzaoji	干燥剂
ganzaoqi	干燥器
ganzhao	感召
ganzhaoli	感召力
ganzhe	甘蔗 赶着
ganzheng	干政
ganzhezha	甘蔗渣
ganzhi	感知 赶制 干支
ganzhiliu	干支流
ganzhiruyi	甘之如饴
ganzhong	干重
ganzhou	赣州 甘州
ganzhuang	杆状
ganzi	杆子 甘孜 竿子 秆子
ganzou	赶走
ganzuoganwei	敢作敢为
gao	高 搞 告 糕 稿 诰 镐 膏 缟 睾 锆 皋 篙 筶 杲 羔 暠 槔 藁 槁 郜 檺 槀 吿 髙 峼 祰 槹
gaoai	高矮
gaoang	高昂
gaoao	高傲
gaobai	告白
gaobiaozhun	高标准
gaobie	告别
gaobing	糕饼
gaobonian	高伯年
gaobukepan	高不可攀
gaocaisheng	高材生 高才生
gaocan	高参
gaoceng	高层
gaocengci	高层次
gaocha	高差
gaochan	高产
gaochang	高唱
gaochanghe	高长河
gaochao	高潮 高超
gaochaodieqi	高潮迭起
gaoche	高车
gaocheng	高程 高成 告成 高城
gaochou	稿酬
gaochu	高出 高处
gaochuangwang	高闯王
gaochuyichou	高出一筹
gaoci	告辞
gaocifangcheng	高次方程
gaoda	高大
gaodanbai	高蛋白
gaodang	高档
gaodayingjun	高大英俊
gaodeng	高等
gaodengji	高等级
gaodengjiaoyu	高等教育
gaodengjiaoyuchubanshe	高等教育出版社
gaodengjiaoyufa	高等教育法
gaodengxuexiao	高等学校
gaodengyuanxiao	高等院校
gaodi	高低 高地
gaodian	高点 糕点
gaodiao	高调
gaodigang	高低杠
gaoding	搞定
gaodu	高度
gaoduan	高端
gaoduzizhiquan	高度自治权
gaoe	高额
gaoerdun	高尔顿
gaoerfu	高尔夫
gaoerfuqiu	高尔夫球
gaoerfuqiuchang	高尔夫球场
gaoerji	高尔基 高尔吉
gaofa	高法 告发 高发
gaofaqi	高发期
gaofei	稿费
gaofeiyuanzou	高飞远走
gaofen	高分
gaofenbianlv	高分辨率
gaofeng	高峰 诰封
gaofengge	高凤阁
gaofengliangjie	高风亮节
gaofengqi	高峰期
gaofengxian	高风险
gaofenzi	高分子
gaofu	告负
gaofuli	高福利
gaogan	高干
gaogang	高冈
gaogao	高高 搞搞
gaogaode	高高的
gaogaodi	高高地
gaogaodidi	高高低低
gaogaoxingxing	高高兴兴
gaogaozaishang	高高在上
gaoge	高歌 高阁 高个
gaogeer	高个儿
gaogemengjin	高歌猛进
gaogenxie	高跟鞋
gaogezi	高个子
gaogu	高估
gaoguan	高官 告官
gaoguanhoulu	高官厚禄
gaogui	高贵
gaoguiying	高桂英
gaohan	高喊 高寒
gaohao	搞好
gaohongbo	高洪波
gaohu	高呼
gaohuan	高欢
gaohuang	膏肓
gaohuo	搞活
gaoji	高级 告急 膏剂
gaojia	高家 高价 高架 告假
gaojialing	高家岭
gaojian	高检 稿件 高见
gaojianfu	高剑父
gaojianmin	高健民
gaojiao	高教 高脚
gaojiaqiao	高架桥
gaojiasuo	高加索
gaojiasuodiqu	高加索地区
gaojidong	高纪东
gaojie	告诫 告捷 高阶 高洁
gaojimiao	高基庙
gaojing	告警
gaojingjian	高精尖
gaojirenminfayuan	高级人民法院
gaojishenjing	高级神经
gaojishu	高技术
gaojixing	高季兴
gaojiyun	高积云
gaojizhongxue	高级中学
gaoju	高举 高居 高踞
gaojugaoda	高举高打
gaojuli	高句丽
gaojun	高峻
gaojunyu	高君宇
gaojuwu	高聚物
gaokang	高亢
gaokao	高考
gaokeji	高科技
gaokexin	高克新
gaokong	高空
gaokua	搞垮
gaolang	高朗
gaolao	告老
gaolaohuanxiang	告老还乡
gaoli	高丽 高利
gaoliang	高粱 高梁
gaoliangmian	高粱面
gaolidai	高利贷
gaolidaizhe	高利贷者
gaoligongshan	高黎贡山
gaoling	高陵 高龄 高领
gaolingfeng	高凌风
gaolingshi	高岭石
gaolingtu	高岭土
gaolingzhen	高陵镇
gaolishi	高力士
gaolou	高楼
gaoloudasha	高楼大厦
gaolu	高卢 高炉
gaoluan	搞乱
gaolujie	高露洁
gaolun	高论
gaomang	膏盲
gaomao	高帽
gaomaozi	高帽子
gaomengjiu	高梦九
gaomengsuanjia	高锰酸钾
gaomi	高密 告密
gaomian	高棉
gaomianren	高棉人
gaomiao	高妙
gaoming	高明 诰命
gaomingheng	高名衡
gaonaiyi	高乃依
gaonan	高难
gaonandu	高难度
gaoneng	高能
gaonengliang	高能量
gaonengwuli	高能物理
gaonianji	高年级
gaonongdu	高浓度
gaopan	高攀
gaopao	高炮
gaopin	高频
gaoping	高平
gaopingyuan	高平原
gaopinwei	高品位
gaopo	高坡
gaoqi	搞起
gaoqiang	高强 高墙 高腔
gaoqiao	高跷
gaoqing	搞清 高清 告罄
gaoqiqian	高起潜
gaoqiu	高球
gaorao	告饶
gaore	高热
gaorenyideng	高人一等
gaosan	高三
gaoseng	高僧
gaoshan	高山
gaoshanbing	高山病
gaoshang	高尚
gaoshanjunling	高山峻岭
gaoshanli	高山栎
gaoshanliushui	高山流水
gaoshanzu	高山族
gaoshao	高烧
gaoshe	高射
gaoshen	高深
gaosheng	高声 高盛 高升
gaoshenmoce	高深莫测
gaoshepao	高射炮
gaoshi	告示 高士 锆石
gaoshixuan	高世宣
gaoshou	高手 高寿
gaoshouruzhe	高收入者
gaoshu	高树
gaoshuang	高爽
gaoshuiping	高水平
gaosi	高斯
gaosong	高耸
gaosongnian	高松年
gaosongruyun	高耸入云
gaosu	告诉 高速 缟素
gaosugang	高速钢
gaosugonglu	高速公路
gaosugongluwang	高速公路网
gaosulu	高速路
gaota	高塔
gaotai	高台
gaotaiguishou	高抬贵手
gaotaiwei	高太尉
gaotang	高堂
gaotangzhou	高唐州
gaotankuolun	高谈阔论
gaotiao	高挑
gaotie	高铁
gaotong	高通
gaotonggongsi	高通公司
gaotou	高头
gaotoudama	高头大马
gaotu	高徒
gaotui	告退
gaowan	睾丸
gaowei	高位 高纬 告慰
gaoweidu	高纬度
gaowen	高温
gaowenduoyu	高温多雨
gaowujianling	高屋建瓴
gaoxia	高下
gaoxiang	高翔
gaoxiao	高校 搞笑 高效 高小
gaoxiaolv	高效率
gaoxin	高新 高薪
gaoxing	高兴
gaoxingneng	高性能
gaoxinjishu	高新技术
gaoxinqu	高新区
gaoxiongshi	高雄市
gaoxuan	高悬
gaoxuetang	高血糖
gaoxuetangsu	高血糖素
gaoxueya	高血压
gaoxuezhi	高血脂
gaoya	高压 高雅 高崖
gaoyadian	高压电
gaoyaguo	高压锅
gaoyaji	高压脊
gaoyanchao	高彦超
gaoyanei	高衙内
gaoyang	羔羊 高阳 高扬
gaoyao	膏药
gaoyaxian	高压线
gaoyayang	高压氧
gaoyi	高一
gaoyiduanluo	告一段落
gaoyigong	高一功
gaoyin	高音
gaoyingxiang	高迎祥
gaoyongjie	高勇杰
gaoyou	高邮
gaoyu	高于 膏腴
gaoyuan	高原 高远
gaoyuanqu	高原区
gaoyuanyuan	高圆圆
gaoyun	高云
gaozhang	高涨
gaozhanxiang	高占祥
gaozhanyuanzhu	高瞻远瞩
gaozhao	高招 高照
gaozhaoban	高招办
gaozhe	高者
gaozhenwuyou	高枕无忧
gaozhi	告知 高职 稿纸
gaozhijun	高志军
gaozhiliang	高质量
gaozhong	高中 告终
gaozhongsheng	高中生
gaozhou	高州
gaozhuan	高专
gaozhuang	告状 膏状
gaozhuangxin	告状信
gaozi	稿子 羔子
gaozong	高宗
gaozu	高祖 高足
gaozui	告罪
gashi	伽师
gazhi	嘎吱
ge	个 各 哥 格 隔 歌 阁 割 革 鎶 搁 铬 滆 咯 葛 犵 戈 牱 鞈 镉 鸽 虼 硌 圪 仡 彁 搿 嗝 膈 敋 鬲 骼
gean	个案
geanguanhuo	隔岸观火
gebaini	哥白尼
geban	隔板 各半 搁板
gebao	各报
gebei	胳臂
gebendongxi	各奔东西
gebenhagen	哥本哈根
gebenhagendaxue	哥本哈根大学
gebi	隔壁 戈壁 搁笔 戈比
gebie	个别 各别
gebieren	个别人
gebiexing	个别性
gebitan	戈壁滩
gebo	胳膊
gebozhou	胳膊肘
gebu	各部 葛布
gecao	割草
gechang	歌唱 各厂
gechangjia	歌唱家
gechu	各处 革除 割除
geci	歌词
gecun	各村
geda	疙瘩 哥达
gedaer	戈达尔
gedang	各党
gedansike	格但斯克
gede	歌德
gedebahecaixiang	哥德巴赫猜想
gedebao	哥德堡
gedeng	咯噔 格登
gedeqisuo	各得其所
gedi	各地 割地
gediao	格调
gedinggen	格丁根
gediya	戈迪亚
gedou	格斗
geduan	割断 隔断 各段
gedui	各队
geer	个儿 哥儿 歌儿 戈尔
geerbaqiaofu	戈尔巴乔夫
geerdan	葛尔丹
geerlia	哥儿俩
geermen	哥儿们
geermu	格尔木
geermushi	格尔木市
gefa	格法
gefang	各方
gefu	歌赋
gefuqize	各负其责
gege	各个 哥哥 个个 咯咯 格格
gegeburu	格格不入
gegege	格格格
gegejiao	格格娇
gegejipo	各个击破
gegongsongde	歌功颂德
gegu	个股
geguo	各国
gehaixiangwang	隔海相望
gehanggeye	各行各业
gehangrugeshan	隔行如隔山
gehe	隔阂
geheyan	隔河岩
gehou	歌喉
gehu	各户
gei	给 給
geichu	给出
geiding	给定
geimianzi	给面子
geipaishui	给排水
geiqian	给钱
geishizhong	给事中
geji	各级
gejia	各家
gejiagehu	各家各户
gejian	隔间
gejie	各界 圪节 蛤蚧
gejinsuoneng	各尽所能
gejiu	个旧
gejiugewei	各就各位
geju	格局 歌剧 割据
gejuan	各卷
gejue	隔绝 歌诀
gejutese	各具特色
gejutuan	歌剧团
gejuyuan	歌剧院
gekai	隔开 割开
geke	各科
gela	格拉
gelaci	格拉茨
gelafu	格拉夫
gelaisidun	格莱斯顿
gelama	格拉玛
gelana	格拉纳
gelande	格兰德
gelandehe	格兰德河
gelanfei	格兰菲
gelangri	格朗日
gelante	格兰特
gelao	仡佬
gelaohui	哥老会
gelaozu	仡佬族
gelasige	格拉斯哥
gelei	各类 格雷
geleiemu	格雷厄姆
geleifu	格雷夫
geleigeli	格雷戈里
geleila	格雷拉
geli	隔离 格里 格力 割礼 个例 蛤蜊
gelia	哥俩
gelie	割裂
gelifeisi	格里菲斯
gelifen	格里芬
gelin	格林 戈林
gelinglan	格陵兰
gelinglandao	格陵兰岛
gelinkeer	格林柯尔
gelinnada	格林纳达
gelinnadingsi	格林纳丁斯
gelinnizhi	格林尼治
gelinsipan	格林斯潘
gelinweizhi	格林威治
gelong	鸽笼
gelou	阁楼
gelu	各路
gelujiya	格鲁吉亚
geluman	格鲁曼
gelumen	格鲁门
gelunbiya	哥伦比亚
gelunbiyadaxue	哥伦比亚大学
gelunbiyagongheguo	哥伦比亚共和国
gelunbiyahao	哥伦比亚号
gelunbiyahe	哥伦比亚河
gelunbiyasheng	哥伦比亚省
gelunbu	哥伦布
geluo	格罗
geluojiazu	葛洛家族
geluosi	格罗斯
geluoxi	葛罗希
geluozini	格罗兹尼
gelupai	格鲁派
gelv	格律
gemai	割麦
gemaisi	戈麦斯
gemen	各门 哥们
gemener	哥们儿
gemi	歌迷
geming	革命
gemingdang	革命党
geminghua	革命化
gemingjia	革命家
gemingjun	革命军
gemingpai	革命派
gemingshi	革命史
gemingxing	革命性
gemingyingxiongzhuyi	革命英雄主义
gemingzhanzheng	革命战争
gemingzhe	革命者
gemo	隔膜
gemu	格木
gen	跟 根 艮 哏 亘 茛 揯
genaku	格纳库
genang	革囊
genban	跟班
genben	根本
genbenfa	根本法
genbenwufa	根本无法
genbenxing	根本性
genbu	根部
genbushang	跟不上
genchu	根除
gendi	根底
gendiao	根雕
gendou	跟斗
gener	根儿
genfeng	跟风
geng	更 羹 耕 梗 绠 郠 埂 庚 耿 哽 暅 綆 赓 鶊 峺 鲠 椩 緪 畊
gengbingwen	耿炳文
gengceng	耕层
gengchu	耕畜
gengdayong	耿大勇
gengdi	耕地
gengdie	更迭
gengdong	更动
gengdu	耕读
gengfan	耕翻
genggai	更改 梗概
genggeng	耿耿
genggengyuhuai	耿耿于怀
genggu	更鼓
genghao	更好
genghekuang	更何况
genghuan	更换
gengjia	更加
gengjingzhong	耿精忠
gengjinyibu	更进一步
gengju	更具
gengming	更名
gengnianqi	更年期
gengniu	耕牛
gengqi	更其
gengse	梗塞
gengshangyicenglou	更上一层楼
gengshen	更深 庚申
gengsheng	更生
gengshengyichou	更胜一筹
gengshi	更是 更始
gengshidi	更始帝
gengshouchang	耿寿昌
gengsi	梗死
gengti	更替
gengtian	耕田
gengtianba	耿天霸
gengu	亘古
gengwanzhong	耿万钟
gengwei	更为
gengxin	更新
gengxinhuandai	更新换代
gengye	哽咽
gengyi	更衣
gengyishi	更衣室
gengyoushenzhe	更有甚者
gengyun	耕耘
gengzheng	更正
gengzhi	耿直
gengzhong	耕种
gengzhongming	耿仲明
gengzi	庚子
gengzinian	庚子年
gengzipeikuan	庚子赔款
gengzu	梗阻
gengzuo	耕作
gengzuoye	耕作业
genhe	根河
genji	根基
genjin	跟进
genjing	根茎
genju	根据
genjudi	根据地
genjue	根绝
genliu	根瘤
genliujun	根瘤菌
genmao	根毛
genmiao	根苗
genni	根尼
genqian	跟前
genshang	跟上
genshendigu	根深蒂固
genshi	根式
gensui	跟随
gente	根特
gentou	跟头
genv	歌女
genxi	根系
genxing	根性
genxu	根须
genyou	根由
genyuan	根源
genzhe	跟着
genzhi	根治 根植
genzhishu	根治术
genzhuangjing	根状茎
genzi	根子
genzong	跟踪
gepai	各派
gepeier	戈培尔
geqian	搁浅
geqiang	隔墙
geqiangyouer	隔墙有耳
geqie	割切
gequ	歌曲 各区
gequji	歌曲集
gequn	鸽群
gequsuoxu	各取所需
gerang	割让
gere	隔热
geren	个人 各人
gerenchongbai	个人崇拜
gerendiannao	个人电脑
gerenhua	个人化
gerensai	个人赛
gerensuodeshui	个人所得税
gerensuoyou	个人所有
gerenzhuyi	个人主义
geri	隔日
gerou	割肉
gesaer	格萨尔
gesake	哥萨克
gesanchawu	隔三差五 隔三岔五
gese	各色
gesegeyang	各色各样
geserendeng	各色人等
gesha	格杀
geshan	戈珊 隔扇
geshang	割伤
geshawulun	格杀勿论
geshe	割舍
geshen	戈什
gesheng	各省 歌声 隔声
geshi	各市 格式 各式 隔世 隔室
geshigeyang	各式各样
geshihua	格式化
geshou	歌手
geshouli	葛守礼
geshu	个数
geshujijian	各抒己见
gesidalijia	哥斯达黎加
gesika	戈斯卡
